capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-04-22 01:04:18 UTC,0.44,0.1,0.0,25.43
2018-04-22 01:19:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 01:34:18 UTC,0.44,0.1,0.0,25.29
2018-04-22 01:49:18 UTC,0.44,0.1,0.0,25.38
2018-04-22 02:04:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 02:19:18 UTC,0.44,0.1,0.0,24.98
2018-04-22 02:34:18 UTC,0.44,0.1,0.0,25.47
2018-04-22 02:49:18 UTC,0.44,0.1,0.0,25.29
2018-04-22 03:04:18 UTC,0.44,0.1,0.0,25.16
2018-04-22 03:19:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 03:34:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 03:49:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 04:04:18 UTC,0.44,0.1,0.0,25.38
2018-04-22 04:19:18 UTC,0.44,0.1,0.0,25.38
2018-04-22 04:34:18 UTC,0.44,0.1,0.0,25.38
2018-04-22 04:49:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 05:04:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 05:19:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 05:34:18 UTC,0.44,0.1,0.0,25.02
2018-04-22 05:49:18 UTC,0.44,0.1,0.0,25.02
2018-04-22 06:04:18 UTC,0.44,0.1,0.0,25.43
2018-04-22 06:19:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 06:34:18 UTC,0.44,0.1,0.0,24.98
2018-04-22 06:49:18 UTC,0.44,0.1,0.0,25.34
2018-04-22 07:04:18 UTC,0.44,0.1,0.0,24.89
2018-04-22 07:19:18 UTC,0.44,0.1,0.0,25.34
2018-04-22 07:34:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 07:49:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 08:04:18 UTC,0.44,0.1,0.0,25.43
2018-04-22 08:19:18 UTC,0.44,0.1,0.0,25.56
2018-04-22 08:34:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 08:49:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 09:04:18 UTC,0.44,0.1,0.0,25.38
2018-04-22 09:19:18 UTC,0.44,0.1,0.0,25.47
2018-04-22 09:34:18 UTC,0.44,0.1,0.0,25.47
2018-04-22 09:49:18 UTC,0.44,0.1,0.0,25.52
2018-04-22 10:04:18 UTC,0.44,0.1,0.0,25.56
2018-04-22 10:19:18 UTC,0.44,0.1,0.0,25.56
2018-04-22 10:34:18 UTC,0.44,0.1,0.0,25.56
2018-04-22 10:49:18 UTC,0.44,0.1,0.0,24.89
2018-04-22 11:04:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 11:19:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 11:34:18 UTC,0.44,0.1,0.0,25.29
2018-04-22 11:49:18 UTC,0.44,0.1,0.0,25.38
2018-04-22 12:04:18 UTC,0.44,0.1,0.0,25.29
2018-04-22 12:19:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 12:34:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 12:49:18 UTC,0.44,0.1,0.0,25.25
2018-04-22 13:04:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 13:19:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 13:34:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 13:49:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 14:04:18 UTC,0.44,0.1,0.0,25.2
2018-04-22 14:19:18 UTC,0.44,0.1,0.0,25.16
2018-04-22 14:34:18 UTC,0.44,0.1,0.0,25.16
2018-04-22 14:49:18 UTC,0.44,0.1,0.0,25.16
2018-04-22 15:04:18 UTC,0.44,0.1,0.0,25.16
2018-04-22 15:19:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 15:34:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 15:49:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 16:04:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 16:19:18 UTC,0.44,0.1,0.0,25.11
2018-04-22 16:34:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 16:49:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 17:04:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 17:19:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 17:34:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 17:49:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 18:04:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 18:19:18 UTC,0.44,0.1,0.0,25.07
2018-04-22 18:34:18 UTC,0.44,0.1,0.0,25.02
